
攸.,2,绵阳,1,5,啊啊啊啊啊，小哪吒好可爱爱了爱了。其实真的超级喜欢藕饼cp的(因为藕饼才看的小哪吒)不过真的超级燃，又燃又虐。我硬生生看哭了。哪吒:我命由我不由天，这是我爹教我的!!!ps:敖丙超级好看!吼吼吼
小屁孩儿,1,德阳,1,5,一定要看哦，很爽很感动很完美
小眼睛,0,江阴,1,5,超乎想象，有欢笑有感动也有热血！非常值得看
欣,2,南昌,1,5,期待2020一战封神
奈奈生面码,0,耒阳,2,5,可燃可思可泣，非常值得一观。
兔飞飞,2,内江,2,5,特别好，燃爆了，锁死藕饼这对CP，自古红蓝出cp不是百合就是基
uHM799237837,0,武陟,3,5,特别喜欢，有笑有泪！还会多刷！
上饶市市长周先生,0,上饶,1,5,"好看好看好看，去你的鸟命
"
Cares,1,遵义,1,5,吹爆吹爆，太好看了，强烈推荐！！！
hGm809925148,0,乌鲁木齐,2,5,超级赞，一天之内看了两次，真的很棒的电影
MOx493742709,1,汕尾,2,5,超好看，笑点和泪点满满，看了还想看
清风,0,济宁,2,5,不虚此行，好看
项文祥,0,常州,3,5,非常棒的电影！非常棒的电影！非常棒的电影！
梦璃,2,东莞,2,5,好看，搞笑，
NRG645730942,0,常熟,2,5,Very 耐斯
wuli   LP,2,北京,1,5,超好看！！！特别有创意，带有搞笑的风格在里面，又是可以一秒催泪的那种。真的有很多看点在预告片里是完全体现不出来的，一开始还在哪吒和银河补习班之间犹豫看什么好，但是后来一想毕竟哪吒传奇也算是陪了我的童年吧，就算是一种。。。传承吧。
缘,1,乌兰察布,3,5,不看会后悔系列
张杰,1,荆州,1,5,可以，无尿点。
Reborn,0,达州,1,5,既搞笑，又燃爆，把我看哭。。。
y&x,0,上海,1,5,太好看了！国漫要崛起了！
風 继续吹,1,上海,1,5,绝对值得一看的一部电影 全程无尿点 非常搞笑  特效也棒棒哒  国漫崛起
星辰予风,2,南宁,1,5,太好看了，打算二刷
Prospect,2,台州,2,5,好看(｡･ω･｡)ﾉ♡
司盏,0,济南,4,5,看过最好看的国产动漫电影了！！！
春困,2,,1,5,小白龙***帅了 哪吒我也***爱了丑萌丑萌的 痞拽痞拽的٩(˃̶͈̀௰˂̶͈́)و
露,2,天津,1,5,挺好看，不错
路遥知马力,1,咸阳,3,5,国产神话继续加油！👍 
"💃 Hey,    Judy",2,南宁,1,5,还好吧，制作可以
lhR376839051,2,什邡,4,5,我觉得这是视觉效果最棒的一部华语动画片，尤其是哪吒和敖丙的cp感太强了！！！！剧情也不拖沓，制作非常精良的一部动画片，满分！！！
cHS454842978,0,淄博,3,0.5,十分不喜这个完全颠覆版的哪吒和画风以及话风！如果不是打着哪吒的名号，我绝对不会买票
敷衍,2,乐清,1,4.5,挺好看的，全程憋着不上厕所
铁柱儿,0,凉山,1,5,就像申公豹所说“人心中的成见是一座大山，任你怎么努力都无法搬动”，无论是对于哪吒，还是对于龙族的敖丙来说
铁柱儿,0,凉山,1,5,就像申公豹所说“人心中的成见是一座大山，任你怎么努力都无法搬动”，无论是对于哪吒，还是对于龙族的敖丙来说
蓝莓&芝士,2,东莞,1,5,好看!这的是国漫之光
Sling,1,安溪,1,5,好看死了嘻嘻
ToT,2,佛山,1,5,努力了这么久终于得到众人的认可……
。,1,武汉,1,5,国漫之光！！
沙砾,1,商丘,1,4.5,蛮不错的，特效还行
良霂,0,贵港,3,5,很棒！很有寓意！这次国漫不需要同情！
ヾ亘古,0,重庆,3,5,只能说，期待第二部啊啊啊啊啊
三岁就爱笑,2,三门峡,2,5,好看到爆炸啊啊啊啊啊我好爱敖丙
小不点,1,兰州,2,5,特别好看的一部国产动漫，强烈推荐😊 😊 😊 😊 
Y_Evan,1,南昌,3,5,算是今年国漫巨制了吧
胡玉何,0,大邑,2,5,作为网络喷子，键盘侠，我必须喷两句:这他么票价太便宜了吧！！！！这么牛逼，这么精致的电影！！你就卖这么便宜？？？？？
往死吃鱼的猫~,2,绥化,1,4,挺棒的，影片的效果挺不错的，就是里面的哪吒的形象有一点点的不符合大多数人的心中所想吧！但是我觉得整个的场景设置都是蛮符合古风的，这个剧情也挺新颖的，蛮不错，总体来说，除去哪吒的形象
生活,0,湖州,2,4.5,还不错 ，挺逗的，以后可以重温一下。
李哲2679,0,大庆,1,5,国产电影的完美之作。期待姜子牙。
BAEKHYUN,2,玉山,1,5,好看，没有失望，超级好看
回忆丶只不过是再作一次梦,2,包头,1,5,挺好看的，非常精彩
🐉源源er,2,佳木斯,1,5,很好看！很感人！也感动中国动画的成长
Z,0,南安,1,5,特效超赞！！！
GRD.,2,峨眉山,1,5,国漫真的越来越好了（ '▿ ' ）
🍃俗世红尘🍂,1,上饶,1,5,真的太好看了
Y玲玲991,1,茂名,1,5,好看！！你们快去看！！！
耀世星豪,1,辽源,1,5,"太棒了，有史以来，最不一样的哪吒。
我命由我不由天，是魔是仙，我自己说了算！"
㍿郑,1,南昌,5,5,绝对值得看，
Dee-B,0,长春,1,5,"骗人😭😭😭
根本就不好笑😭😭😭
一路都在哭😭😭😭"
江大仙,0,福安,1,5,剧情真的好，建议大家去看看
思恋,0,抚州,1,5,特别好看，感觉很良心。期待下次的姜子牙
艾牙肖文柳,2,长沙,1,5,关于亲情友情的描述很感人，对传统的故事有所改编
别动🙈 懒癌犯了,2,长春,1,5,有泪点，有笑点，/:strong 
安筱,2,赣州,1,5,等待了半个月，不负期待，是一部很值得二刷的电影
语冰,0,台州,1,5,太好看了！！！绝对不亏！！！无论剧情还是配音还是画风都惊艳到我了，这是一部击中我心灵的电影！
ncP852145899,0,珠海,2,4.5,好看！打斗场面很震撼！
陌殇〆,1,汝城县,2,5,很好看，一开始挺搞笑的，后面的有点感动😹
大药房,0,长沙,1,5,太好看了啊！(ฅ>ω<*ฅ) 藕丙冲鸭~\(≧▽≦)/~
戏曲小白,0,广安,1,5,期待姜子牙。
晚恋微风,0,海口,2,5,很好看  ，期待第二部
thz519580185,0,辽源,1,5,真心好看，即欢乐又感人，建议带上孩子一起看。为国产动漫点赞！
wifi已离线,1,义乌,1,4,还可以，泪点与笑点都比较均衡
梦逝2017,0,威海,2,5,"若命运不公，就跟它斗到底！

想必每一人会否认，哪吒的一生，简直就是戏剧性的一生，大起过，也大落过。有人曾说，不同的年龄段看哪吒，是会有着不一样感受的。想想还真是如此，我们最初看哪吒的时候，只会感觉这是一个童年很悲惨的孩子，然而在长大后我们看哪吒，会不会有种“这就是人生啊”的感觉呢？"
哥哥kkk,0,淄博,2,5,搞笑与感动并存 总体来说值得一看的电影
Anny,2,广州,1,5,入股不亏！！！太好看了！节奏明快舒适，场景炫酷宏大，动作流畅，剧情笑点与泪点齐飞，全场激动和感动一色，太棒了！！！
Leo38388,1,沈丘,1,5,不错不错国漫崛起
大雄,0,永州,1,5,经典国漫，值得一看
路小凯,0,重庆,1,5,好看呀！笑点不断又很燃！
LV,0,抚顺,4,5,真是太棒的电影了🎬
妖妨,0,定远县,1,5,巨好看，9.7给的非常准确
酒酿小团子,2,上林县,1,4.5,最后的彩蛋差评
没有感情的面包,2,开封,1,5,超棒！！！！可以说这部电影是继大圣和白蛇的又一新高！！
翻滚吧皮卡丘จุ๊บ,2,溧水区,1,5,好看，非常好看
